catalog_rank,common_name,scientific_name,kingdom,category,priority,planned_source,notes,inat_taxon_id,observations_count,iconic_taxon_name,wikipedia_url
123,Red Fox,Vulpes vulpes,Animalia,mammal,P0,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,42069,151126,Mammalia,http://en.wikipedia.org/wiki/Red_fox
124,Common St. John's Wort,Hypericum perforatum,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,56077,128382,Plantae,http://en.wikipedia.org/wiki/Hypericum_perforatum
125,Brown Pelican,Pelecanus occidentalis,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,4328,142363,Aves,http://en.wikipedia.org/wiki/Brown_pelican
126,Green Heron,Butorides virescens,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,5020,129011,Aves,https://en.wikipedia.org/wiki/Green_heron
127,common jewelweed,Impatiens capensis,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,47888,127235,Plantae,http://en.wikipedia.org/wiki/Impatiens_capensis
128,multiflora rose,Rosa multiflora,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,78882,129092,Plantae,http://en.wikipedia.org/wiki/Rosa_multiflora
129,Common Whitetail,Plathemis lydia,Animalia,insect,P0,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,84549,123909,Insecta,http://en.wikipedia.org/wiki/Common_whitetail
130,Black Vulture,Coragyps atratus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,4765,128671,Aves,http://en.wikipedia.org/wiki/Black_vulture
131,European Peacock Butterfly,Aglais io,Animalia,insect,P0,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,207977,130589,Insecta,http://en.wikipedia.org/wiki/Aglais_io
132,black cherry,Prunus serotina,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,54834,130093,Plantae,https://en.wikipedia.org/wiki/Prunus_serotina
